"id","cd","top","bottom","name","meaning"
1,"777777",nebe,nebe,tvoření,"Jste na cestě k celkovému úspěchu v souladu s nebem. Je však důležité,  abyste  se  nenechali  rozptýlit. Prokažte svou předvídavost. Šlechetný člověk je ve svém úsilí neúnavný. Štěstí a energie."
2,"888888",země,země,odevzdanost,"Nejste v nezávislém postavení. Také byste neměli podnikat nebo se snažit řídit, nýbrž byste se měli přizpůsobit okolnostem a nechat se vést. Zůstanete-li poddajní, dosáhnete úspěchu. Mírnost s vytrvalostí přinesou štěstí a zisk."
3,"788878",voda,hrom,počáteční nesnáz,"Jste ve stavu duchovního nebo citového zmatku a nejste schopni se v něm vyznat. Uvědomte si, že tyto pocity jsou důsledkem právě se rozvíjející síli. Všechno musí být ztvárněno, musí si najít své místo. Doba rození a růstu není nikdy jednoduchá a snadná. Současná situace je bohatá na možnosti, pochopíte její smysl a využijete ji, budete-li jednat klidně, nevzrušeně a obklopíte-li se osobami, které mají stejné sklony."
4,"878887",hora,voda,zrání,"Zrání je nezralost. Určitě budete jednat poněkud nerozvážně. Nepřinese to výčitky, jste-li  si vědomi svých slabostí a vyhledáte-li radu moudrého člověka. Je třeba hledat zkušeného učitele. On vás hledat nebude. Je možný jiný výklad: není dobré dávat rady někomu, kdo o to nestojí. Je lépe počkat,až přijde sám. Když přijde poprvé, poučím ho, přijde-li zase, potřetí, přestanu. Neboť k úspěchu je třeba trpělivosti. Nic nelze uspěchat, nic nelze přeskočit."
5,"777878",voda,nebe,čekání,"Tento hexagram se vykládá ve dvou úrovních. Nejprve znamená - pokud se chystá nějaká událost, je zbytečné se snažit uspíšit její příchod. Všechno má svůj čas. Není nutné zasahovat, je třeba na její chvíli počkat. Vytrvalost přináší štěstí! Poté vám oznamuje přítomnost nebezpečí nezávislého na vaší vůli, před nímž se musíte zastavit, abyste mu pohlédli do tváře, předvídavě, aniž byste si dělali iluze. Až ho skutečně poznáte, můžete mu čelit s vyhrajete. Je nutné mít trpělivost s sebedůvěru, potom zvládnete i velké riziko."
6,"878777",nebe,voda,konflikt,"Třebaže jste si svým právem  jisti, jste čelem k silnému protikladu způsobujícímu střetnutí, které jste v pokušení vyžešit násilím. Nebezpečí. Bez zbytečného riskování lze přežít i to, co na první pohled vypadá neřešitelně. Vězte, že zacházet do krajnosti vám nijak nepomůže. Vyvolávalo by to neustále nové konflikty. Zajímejte se spíše  o názor někoho nestranného. Šlechetný člověk při práci dlouho zvažuje svůj první krok. Není příhodná chvíle chtít překročit velkou řeku."
7,"878888",země,voda,vojsko,"Tento hexagram vyjadřuje vojsko jako sílu, která potřebuje zkušeného velitele, aby účinně působila. Oznamuje vám, že svým způsobem musíte být velitelem, generálem. Ale aby se vám to podařilo, potřebujete  důvěru vašich oddílů  a nesmíte nic opomenout, abyste si ji zasloužili. Situace vůdce, velitele je totiž zranitelná, třebaže se to nezdá."
8,"888878",voda,země,spojení,"Každý je součástí proudu.  Obecným významem je, že člověk potřebuje druhé, aby se plně realizoval. Tato myšlenka má dvojí význam. Buď oznamuje, že osoba má hrát ústřední roli ( pokud se to týká vás, musíte vrhnout I-ťing podruhé, abyste věděli, máte-li nezbytnou vnitřní sílu pro takovou odpovědnost ), nebo vám dává vědět, že pro úspěch ve vašem podnikání potřebujete druhé a musíte využít společných zkušeností. Buď budete tím, kolem něhož se ostatní budou združovat, nebo se připojíte k druhým."
9,"777877",vítr,nebe,vláda slabého,"Malý má úspěch podrobí-li se. Jste bezmocní, chcete-li, aby se události vyvíjeli podle vašeho přání. Zatím nemáte potřebnou sílu, abyste začali rozsáhlou činnost. můžete ovlivňovat spíše laskavosí a vnuknutím, než vymáháním."
10,"778777",nebe,jezero,vykročení,"Chůze i nevhodné jednání. Vstoupit na ocas tygra a on ho nekousne. Význam tohoto hexagramu je prostý. Slabší obstojí ve střetu se silnějším, najde-li k němu vhodný přístup. Musíte postupovat  s ohledem  na opravidla  společnosti, ve které pobýváte. Vhodným chováním se dají zdárně vyřešit i situace na první pohled beznadějné. I když se stýkáte s nepříjemnými lidmi, vaše laskavé chování a respekt vás ochrání od všeho nebezpečí."
11,"777888",země,nebe,mír,"Malé odchází, velké přichází. Je to štěstí, je to prosperita. Nacházíte se v období plném harmonie, v souladu s vámi a se světem, který vás obklopuje. Naučte se využít toho okamžiku. Rovnováha mezi nebem a zemí, šťastné a příznivé znamení. Svornost a smír, všechno má místo a čas, jenž jim náleží."
12,"888777",nebe,země,nehybnost,"Kolem vás vládne nedůvěra a přísnost, někteří se vás pokoušejí zmýlit. Za takových okolností nenaslouchejte nabídkám z okolí, třebaže jsou lákavé. Šetřte síly a vyhýbejte se nasnázím. Malí a nízcí stoupají vzhůru. Zůstaňte v ústraní a nepodílejte se na špatných činech. Velké odchází, přichází malé. Zůstaňte však věrni svým dlouhodobým cílům. I kdybyste měli načas ustoupit do ústraní, protože doba není vhodná pro plodné jednání."
13,"787777",nebe,oheň,společenství,"Žijete v období, které je obzvláště významné ve společenské oblasti. Vaše činy jsou spojeny s činy a zájmy ostatních. Pociťujete nutnost sdružovat své zájmy a svou energii. To je základem jakéhokoli harmonického společenství. Je však nezbytné aby váš cíl byl jasný, nezištný. Skupina, k níž patříte, náležíte, by měla získat zkušeného vůdce, který je dost silný, aby vašemu společenství dal řád a pořádek."
14,"777787",oheň,nebe,bohatství,"U I-ťingu spočívá největší síla v pokoře. Skromnost sluší vládci. Tento hexagram oznamuje, že jste dosáhli úspěchu díky své dobrotě, oproštěné od sobectví. Šťastně sklízíte, co jste zasili. Nastal příhodný  okamžik. Jste svobodni v  jednání a vaše vlastnosti jsou uznány většinou. Šťastný člověk potlačuje zlo a podporuje dobro tak, jak si to žádá nebe."
15,"887888",země,hora,skromnost,"Tento hexagram je velmi příznivý. Říká, že pokud jste skromní a chováte se nenuceně, vaše postavení se zlepší. Nesete-li již významnou odpovědnost a zůstáváte-li pokorní, uspějete. Každý bude s tímto úspěchem souhlasit, neboť zákonem nebe je naplňovat prázdné. Ušlechtilý člověk své dílo dokončí. Ubírá tam, kde je mnoho a přidává tam, kde je nedostatek."
16,"888788",hrom,země,nadšení,"Vášeň, která vás ovládá, sdílíte s ostatními. Všichni vás s nadšením sledují. Nikdo vás nezradí. Nemusíte se bát rozdat pravomoci pomocníkům a táhnout do boje."
17,"788778",jezero,hrom,následek,"Je dvojího smyslu. Pokud si přejete být následováni, silou nezískáte nic, pouze snášenlivým a vřelým chováním. Jste-li však nuceni někoho následovat, nenechte se stáhnou do neovladatelného pohybu a nechte si čas pro přemýšlení a odpočinek. Respektujte aspekt času. Ve dne pracujte a večer se vraťte domů, abyste si odpočinuli."
18,"877887",hora,vítr,rozklad,"Situace je naprosto uzavřená. Berte to s největší vážností jako výzvu, protože jinak by bylo lepší se do ničeho nepouštět. Bezpochyby je to vaše vina. Byli jste příliš slabí, ochablí nebo jste neuměli využát nezbytných prostředků k zabránění rozkladu. Zkaženost je plodem lhostejnosti a lenosti. Před vámi je významný úkol. Nejdříve přemýšlet a analyzovat minulé, až poznáte skutečné příčiny současného rozkladu. Potom se musíte snažit, nejprve u sebe a poté u ostatních, o očistu a zdokonalení. Náprava vyžaduje důraznost i oběti. Ve snaze o nápravu věcí je třeba podstoupit riziko a přejít velkou řeku, protože nic jiného nezbývá."
19,"778888",země,jezero,vzestup,"Tato věštba je příznivá. Ukazuje, že postupujete, že se vaše situace zlepšuje a že směřujete k velkým odpovědnostem. Zároveň nesmíte zapomenout, že po každém vzestupu následuje pokles. Když na něj budete připraveni, bez úhony překlenete nevyhnutelné těžkosti. Sbližování vyšších s nižšími má blahodárné výsledky, nic však netrvá věčně a v určité chvíli může nastat krize."
20,"888877",vítr,země,pozorování,"Ten, kdo se vystavuje na obdiv druhým a povyšuje se na vzor, toho musí být hoden. Proto musí umět pozorovat bez přímé účasti na událostech. Využijte tohoto času k meditaci, pak budete poctěn důvěrou."
21,"788787",oheň,hrom,kousnutí,"Překážka rozhodně musí být odstraněna, dříve než způsobí trvalé škody. Je zde otázka nutného spravedlivého trestu, který má obnovit pořádek. Jen rázný čin přinese úspěch. Osoba jedná zrádně. Aby se zabránilo zmatkům a roztržce, je třeba neústupně zasáhnout, energicky, ovšem bez násilí, spravedlivě a nestranně. Trest by měl překážku nejen odstranit, ale také jiné odstrašit."
22,"787887",hora,oheň,půvab,"Tento hexagram zobrazuje krásu provázenou klidem. Elegance. Příjemnost. Nacházíte se v příjemném postavení, stranou od životních úskalí. Daleko od zápasů a bojů. Okolo vás vládne harmonie, vaše podnikání je příznivé. Tento půvab je však zdánlivý. Je formální, chybí mu základ. Půvab přináší úspěch, který se však netýká podstaty. Jeho lvýznam je proto omezen. Nelze dosáhnout velkých činů. Je dobré podniknout něco v malém. Tato předpověď je jinak významná v oblasti umělecké a tvůrčí."
23,"888887",hora,hrom,tříštění,"Vaše tvořivá činnost je jakoby podkopání působením obyčejných lidí. Vaše stavba nebo postavení se postupně bortí. Čas pro vás není příhodný a je nutné vyhnout se jakomukoliv ráznému činu. Musíte zůstat neústupní jako hora a zpevňovat si základy Není dobré vydávat se na cestu. Příležitost pro malé, těžké chvíle pro šlechetné."
24,"788888",země,hrom,návrat,"Vše se podřizuje věčnému a plynoucímu koloběhu života. Je to největšší přirozený zákon. Právě jste prožili těžké chvíle, ale kolo se točí dál a přináší s sebou příhodné změny. Je dobré vědět,  kam půjdete.  Vyskytují se  příležitosti umožňující znovunabytí ztracených výhod a především dosažení nových začátků. Návraty mají svůj řád. Jednejte s důvěrou, ale bez urychlování věcí. Pohyb a klid."
25,"788777",nebe,hrom,nevinnost,"Upřímnost a bezúhonnost. Nevinnost je stavem člověka, který právě přišel na svět. Ještě se nesetkal s žádným záporným vlivem, nezná ctižádost, faleš a závist. Jedná bezprostředně, v souladu s nebem, aniž by v sobě živil zvláštní naději, tak získává štěstí. Nebo jinak, když dodržíte pravidla a vytrváte - naděje na úspěch.<br> Tento hexagram, přizpůsobený individuálním situacím říká, že musíte jednat v duchu své hluboké přirozenosti a omezit v této chvíli své úmysly. Je to dobré a šťastné znamení, pokud se vyvarujete nesprávných kroků."
26,"777887",hora,nebe,božská moc,"Velký, namáhavý a zároveň riskantní podnik. Síla, jež zná své meze, ale přesto míří vpřed. Velké věci vyžadují spojení trořivé síly a pevnosti. Máte tuto moc, a to vám umožňuje dokonalý přehled o všech okolnostech.  Můžete se dokonce pokusit o nebezpečný podnik a bez obav na sebe vzít velkou odpovědnost, neboť je to Boží vůle. Nejíst jen doma přináší štěstí! Je dobré překročit velikou řeku."
